Alkane,"Boiling Point, C",,,,,
"1,2-cis-1,3-trans-1,2,3-Trimethylcyclohexane",151,,,,,
"1,2-trans-1,3-cis-1,2,3-Trimethylcyclohexane",152,,,,,
"1,3,3-Trimethylbicyclo[2.2.1]Heptane",152,,,,,
"cis-1,1,3,5-Tetramethylcyclohexane",152,,,,,
trans-1-Ethyl-4-methylcyclohexane,152,,,,,
cis-1-Ethyl-4-methylcyclohexane,152,,,,,
"2,4,4-Trimethylheptane",153,,,,,
"2,5,5-Trimethylheptane",153,,,,,
"2,3,3,5-Tetramethylhexane",153,,,,,
"2,2,4,4-Tetramethylhexane",153,,,,,
Isopropylcyclohexane,155,,,,,
"3-Ethyl-2,2,4-trimethylpentane",155,,,,,
"2,2,3,4-Tetramethylhexane",155,,,,,
"2,2-Dimethyloctane",155,,,,,
"1,1,3,3-Tetramethylcyclohexane",155,,,,,
"2,3,5-Trimethylheptane",156,,,,,
"2,4-Dimethyloctane",156,,,,,
"2,5-Dimethyloctane",156,,,,,
N-Butylcyclopentane,156,,,,,
"trans-1,1,3,5-Tetramethylcyclohexane",156,,,,,
cis-1-Ethyl-3-methylcyclohexane,156,,,,,
"2,3,6-Trimethylheptane",156,,,,,
"2,3,5-Trimethylheptane",157,,,,,
"2,4,5-Trimethylheptane",157,,,,,
N-Propylcyclohexane,157,,,,,
"2,5-Dimethyl-3-ethylhexane",157,,,,,
"2,4-Dimethyl-3-isopropylpentane",157,,,,,
"2,4-Dimethyl-2-ethylhexane",158,,,,,
"2,2,3-Trimethylheptane",158,,,,,
"2,2,3,4,4-Pentamethylpentane",159,,,,,
"1,2-trans-1,3-cis-1,5-cis-1,2,3,5-Tetramethylcyclohexane",159,,,,,
"2,2-Dimethyl-3-ethylhexane",159,,,,,
"2,6-Dimethyloctane",160,,,,,
5-Ethyl-2-methylheptane,160,,,,,
"3,6-Dimethyloctane",160,,,,,
"1,1,3,4-Tetramethylcyclohexane",160,,,,,
"2,7-Dimethyloctane",160,,,,,
4-Isopropylheptane,160,,,,,
4-Ethyl-2-methylheptane,160,,,,,
"2,2,3,3-Tetramethylhexane",160,,,,,
"2,3,3-Trimethylheptane",160,,,,,
"3,3-Dimethyloctane",161,,,,,
"1,2-trans-1,4-trans-1,5-cis-1,2,4,5-Tetramethylcyclohexane",161,,,,,
"4,4-Dimethyloctane",161,,,,,
5-Ethyl-3-methylheptane,161,,,,,
"4,5-Dimethyloctane",161,,,,,
"2,3,4,5-Tetramethylhexane",161,,,,,
"3,4-Diethylhexane",162,,,,,
"1,1,4-Trimethylheptane",162,,,,,
"1,2-trans-1,3-cis-1,5-trans-1,2,3,5-Tetramethylcyclohexane",162,,,,,
4-Propylheptane,162,,,,,
"2,3,4,4-Tetramethylhexane",162,,,,,
"1,2-cis-1,3-trans-1,5-cis-1,2,3,5-Tetramethylcyclohexane",163,,,,,
3-Isopropyl-2-methylhexane,163,,,,,
"2,3,4-Trimethylheptane",163,,,,,
"1,2-trans-1,4-cis-1,5-trans-1,2,4,5-Tetramethylcyclohexane",164,,,,,
3-Ethyl-3-methylheptane,164,,,,,
"3,4,4-Trimethylheptane",164,,,,,
"2,4-Dimethyl-3-ethylhexane",164,,,,,
"3,4,5-Trimethylheptane",164,,,,,
1-Methyl-3-propylcyclohexane,164,,,,,
"2,3-Dimethyloctane",164,,,,,
"2,3-Dimethyl-4-ethylhexane",164,,,,,
"2,2,7-Trimethylbibyclo[2.2.1]Heptane",164,,,,,
"1,2-cis-1,4-cis-1,5-trans-1,2,4,5-Tetramethylcyclohexane",165,,,,,
4-methylnonane,165,,,,,
"2,3,3,4-tetramethylhexane",165,,,,,
5-Methylnonane,165,,,,,
"All-cis-1,2,3,5-tetramethylcyclohexane",165,,,,,
3-3-Dimethyl-4-ethylhexane,165,,,,,
"1,2-cis-1,3-trans-1,5-trans-1,2,3,5-Tetramethylcyclohexane",165,,,,,
3-Ethyl-2-methylheptane,166,,,,,
"3,4-Dimethyloctane",166,,,,,
"2,2,3,3,4-Pentamethylpentane",166,,,,,
"1,2-trans-1,3-cis-1,4-trans-1,2,3,4-Tetramethylcyclohexane",166,,,,,
"3,3-Diethylhexane",166,,,,,
trans-1-Isopropyl-3-Methylcyclohexane,166,,,,,
2-Methylnonane,166,,,,,
4-Ethyl-4-methylheptane,167,,,,,
cis-1-Isopropyl-3-Methylcyclohexane,167,,,,,
3-Ethyl-4-methylheptane,167,,,,,
4-ethyl-3-Methylheptane,167,,,,,
tert-Butylcyclohexane,167,,,,,
3-Ethyloctane,168,,,,,
"3-Ethyl-2,2,3-Trimethylpentane",168,,,,,
4-Ethyloctane,168,,,,,
3-Methylnonane,168,,,,,
"1,2-cis-1,3-cis-1,5-trans-1,2,3,5-Tetramethylcyclohexane",169,,,,,
trans-1-isopropyl-4-methylcyclohexane,169,,,,,
"2,3-Dimethyl-3-ethylhexane",169,,,,,
cis-1-Isopropyl-4-methylcyclohexane,169,,,,,
"1,2-cis-1,4-trans-1,5-trans-1,2,4,5-Tetramethylcyclohexane",170,,,,,
"3,3,4,4-Tetramethylhexane",170,,,,,
"1,2-trans-1,3-trans-1,4-cis-1,2,3,4-Tetramethylcyclohexane",170,,,,,
"3,4-dimethyl-3-ethyhexane",170,,,,,
"1,2-cis-1,3-trans-1,4-cis-1,2,3,4-Tetramethylcyclohexane",170,,,,,
Cyclononane,170,,,,,
"1,2-cis-1,3-cis-1,4-trans-1,2,3,4-Tetramethylcyclohexane",171,,,,,
"1,2-cis-1,3-trans-1,4-trans-1,2,3,4-Tetramethylcyclohexane",171,,,,,
1-Isopropyl-2-methylcyclohexane,171,,,,,
1-Methyl-4-propylcyclohexane,174,,,,,
"All-cis-1,2,4,5-Tetramethylcyclohexane",174,,,,,
N-Decane,174,,,,,
1-Methyl-1-propylcyclohexane,174,,,,,
1-Methyl-2-propylcyclohexane,175,,,,,
"All-cis-1,2,3,4-tetramethylcyclohexane",178,,,,,
N-Pentylcyclopentane,181,,,,,
N-Butylcyclohexane,181,,,,,
trans-Decalin,187,,,,,
"2,4,6,8-Tetramethylnonane",190,,,,,
Isoamylcyclohexane,193,,,,,
cis-Decalin,196,,,,,
N-Undecane,196,,,,,
Cyclodecane,201,,,,,
3-Methylundecane,201,,,,,
N-Pentylcyclohexane,202,,,,,
N-Hexylcyclopentane,203,,,,,
N-Dodecane,216,,,,,
Butylcyclooctane,217,,,,,
N-Hexylcyclohexane,224,,,,,
N-Heptylcyclopentane,224,,,,,
N-Tridecane,235,,,,,
